Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,26.8
2019,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,23.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,27.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,Rural,Percent,28.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,Urban,Percent,23.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,Female,,Percent,24.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,Male,,Percent,29.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_BA,,,Percent,21.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_HA,,,Percent,26.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MA,,,Percent,30.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MC,,,Percent,29.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_ME,,,Percent,27.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MI,,,Percent,27.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MN,,,Percent,22.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MS,,,Percent,32.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MV,,,Percent,24.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],ZW_MW,,,Percent,24.3
